mask,chord,fingers,span,fret_cost,gap_cost,intrinsic
0,(open),0,0,0.0,0.0,0.0
1,G,1,1,1.0,0,1.0
2,R,1,1,1.0,0,1.0
4,Y,1,1,1.0,0,1.0
8,B,1,1,1.0,0,1.0
16,O,1,1,1.0,0,1.0
3,GR,2,2,1.5,0,1.5
6,RY,2,2,1.5,0,1.5
12,YB,2,2,1.5,0,1.5
24,BO,2,2,1.5,0,1.5
5,GY,2,3,2.0,0.5,2.0
20,YO,2,3,2.0,0.5,2.0
7,GRY,3,3,2.0,0,2.0
14,RYB,3,3,2.0,0,2.0
28,YBO,3,3,2.0,0,2.0
10,RB,2,3,2.0,1.0,2.5
15,GRYB,4,4,2.5,0,2.5
30,RYBO,4,4,2.5,0,2.5
9,GB,2,4,2.0,1.5,3.0
18,RO,2,4,2.0,1.5,3.0
13,GYB,3,4,2.5,0.5,3.0
22,RYO,3,4,2.5,0.5,3.0
17,GO,2,5,2.0,2.0,3.5
11,GRB,3,4,2.5,1.0,3.5
26,RBO,3,4,2.5,1.0,3.5
23,GRYO,4,5,3.0,0.5,3.5
29,GYBO,4,5,3.0,0.5,3.5
19,GRO,3,5,2.5,1.5,4.0
21,GYO,3,5,3.0,1.0,4.0
25,GBO,3,5,2.5,1.5,4.0
27,GRBO,4,5,3.0,1.0,4.0
31,GRYBO,5,5,3.0,0,4.0
