File,Name,Artist,Charter,Year,Genre,StarRating,IntensityStars,LengthBonus,Blended,TotalNotes,FretLaneNotes,StrumCount,HopoCount,TapCount,DurationSeconds,MeanNps,MaxNps,P83,P93,P99,L5,FretMean,StrumMean,SustainMean
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 01 - ...And the Journey Begins!\1. Paul Gilbert - Everybody Use Your Goddamn Turn Signal (Chemfinal)\notes.chart,Everybody Use Your Goddamn Turn Signal,Paul Gilbert (ChemFinal),,,rock,7.92,7.06,0.86,11.664,1160,1260,696,417,47,252.78,4.606,20.165,8.352,10.997,16.664,14.804,4.161,1.242,0.461
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 01 - ...And the Journey Begins!\2. Mindless Self Indulgence - Stupid MF (JRabes)\notes.chart,Stupid MF,Mindless Self Indulgence,JRabes,", 2005",Electronic Rock,4.16,3.40,0.76,6.347,599,947,380,17,202,143.50,3.226,9.163,5.006,6.390,7.617,7.293,2.927,0.938,0.104
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 01 - ...And the Journey Begins!\3. Iced Earth - Pure Evil (OrangeHat)\notes.chart,Pure Evil,Iced Earth,,", 1991",rock,6.34,5.15,1.18,8.974,2453,2842,2281,172,0,392.54,5.125,15.725,6.999,8.679,11.596,10.793,4.064,2.270,0.291
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 01 - ...And the Journey Begins!\8. A Sense of Gravity - Echo Chasers (XEntombmentX)\notes.chart,Echo Chasers,A Sense of Gravity,XEntombmentX,", 2016",Progressive Metal,5.86,4.70,1.16,8.308,1842,2689,1150,680,12,296.04,4.480,15.853,6.247,8.133,10.701,10.080,3.741,1.877,0.223
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 01 - ...And the Journey Begins!\Periphery - Absolomb\notes.chart,Absolomb,Periphery,XEntombmentX,", 2016",Progressive Metal,5.80,4.66,1.14,8.247,2073,2592,1160,255,658,450.08,3.857,15.273,5.760,7.750,12.303,10.445,3.060,0.897,0.766
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 01 - ...And the Journey Begins!\Protest the Hero - Cold Water\notes.chart,Cold Water,Protest the Hero,Chezy,,rock,6.98,5.87,1.11,9.996,2215,2369,702,1016,497,335.57,5.886,12.657,8.771,9.728,11.971,11.144,5.746,0.731,0.385
"C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\1. Rhapsody of Fire - Gargoyles, Angels of Darkness (BurpLeTurtle)\notes.chart","Gargoyles, Angels of Darkness",Rhapsody of Fire,"CaptainToasty, BurpLeTurtle",", 2002",Symphonic Power Metal,7.38,5.96,1.42,10.131,4840,5091,2420,1451,969,1056.97,3.990,26.951,7.133,9.607,14.095,13.076,3.235,0.903,0.565
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\2. Scar Symmetry - The Anomaly (Miscellany)\notes.chart,The Anomaly,Scar Symmetry,,,rock,5.69,4.63,1.06,8.212,1333,2082,1095,226,12,227.42,3.944,16.500,5.982,7.925,11.090,10.208,3.275,1.512,0.434
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\3. An Endless Sporadic - Impulse II (jdurandTV)\notes.chart,Impulse II,An Endless Sporadic,jdurand11143,", 2016",rock,6.36,5.43,0.93,9.371,1292,1492,420,667,205,258.91,4.233,16.694,6.922,9.098,12.345,11.559,3.897,0.534,0.352
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\4. Animals as Leaders - Ka$cade (XEntombmentX)\notes.chart,Ka$cade,Animals as Leaders,XEntombmentX,", 2014",Progressive Metal,7.18,6.06,1.13,10.262,2214,2483,1248,959,7,321.01,5.298,14.601,8.069,10.123,12.909,11.992,4.975,1.733,0.334
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\5. Guthrie Govan - Waves (xX760Xx)\notes.chart,Waves,Guthrie Govan,xX760Xx,,rock,6.96,5.96,1.00,10.130,1775,1780,240,1535,0,298.41,4.568,19.095,7.451,9.734,13.606,12.631,4.497,0.207,0.198
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\6. Periphery - Somewhere in Time (Miscellany)\notes.chart,Somewhere in Time,Periphery,Miscellany,", 2012",Progressive Metal,4.11,2.84,1.27,5.463,3115,3503,2751,209,155,903.64,2.605,12.416,3.835,4.971,8.032,7.320,1.504,1.394,0.443
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 02 - Learning the Ropes\7. Opeth - The Baying of The Hounds (LemonGH & captaintoasty)\notes.chart,The Baying of the Hounds,Opeth,Unknown Charter,", 2005",rock,5.77,4.48,1.29,7.986,2666,3701,1813,805,48,635.63,3.918,12.711,5.686,7.713,11.053,9.944,3.296,0.960,0.614
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\1. Dream Theater - The Test That Stumped Them All (GHX & JRabes)\notes.chart,dream theater bullshit,,,,rock,9.19,8.07,1.12,13.041,2245,2443,926,629,690,288.29,6.658,20.025,10.491,13.035,15.706,14.910,6.364,1.309,0.218
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\2. Vitalij Kuprij - Phantom Flurries (OHM)\notes.chart,Phantom Flurries,Vitalij Kuprij (ChemFinal),"OHM, Chemfinal",", 2003",Classical,10.04,9.47,0.57,14.898,543,549,0,0,543,63.09,7.010,21.636,11.394,14.704,18.810,17.761,6.906,0.034,0.344
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\3. Shawn Lane - Gray Pianos Flying (Angevil)\notes.chart,Gray Pianos Flying,Shawn lane,Angevil,", 1992",Jazz Fusion,9.25,8.39,0.86,13.469,1165,1245,162,602,401,183.64,5.395,22.595,8.150,13.086,19.845,17.792,5.307,0.289,0.267
"C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\4. Anus - Coin, Coin ! (GHX)\notes.chart","Coin, Coin",Anus,GHX,", 1996",rock,10.07,9.09,0.98,14.398,1699,1699,204,98,1397,192.03,6.444,20.520,11.802,13.541,20.363,16.588,6.388,0.301,0.064
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\5. Symphony X - Nevermore (JRabes)\notes.chart,Nevermore,Symphony X,JRabes,", 2015",Progressive Metal,7.62,6.46,1.16,10.830,2612,2696,608,2003,1,325.80,6.572,17.130,9.469,10.615,12.630,12.116,6.500,0.898,0.123
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\6. Metallica - Moth Into Flame (Miscellany)\notes.chart,Moth Into Flame,metallica,,,rock,6.55,5.42,1.13,9.358,2186,2495,1785,388,13,346.03,4.993,16.006,7.542,8.947,12.131,11.167,4.525,1.925,0.298
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 03 - Realization\7. Octavision - Three Lives (jdurandTV & Chemfinal)\notes.chart,Three Lives,Octavision,jdurandTV & Chemfinal,", 2016",Progressive Metal,7.13,5.91,1.22,10.060,3081,3130,1262,1286,533,575.08,4.953,18.086,7.822,9.595,13.587,12.140,4.777,0.732,0.316
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 04 - Rising Above It All\1. Evile - We Who Are About to Die (Angevil)\notes.chart,We Who Are About to Die,Evile,Angevil,", 2007",Thrash Metal,6.68,5.56,1.12,9.552,2119,2432,1525,589,5,430.77,4.711,19.595,7.248,8.631,14.120,12.221,4.107,1.403,0.764
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 04 - Rising Above It All\2. 311Erock - Livin' on a Prayer (feat. PelleK & Cole Rolland) (Miscellany)\notes.chart,Livin,E,,,rock,6.61,5.74,0.87,9.810,1183,1279,413,460,310,248.24,4.129,21.600,6.853,8.868,15.464,12.799,3.778,0.511,0.668
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 04 - Rising Above It All\3. After the Burial - Ometh (captaintoasty & XEntombmentX)\notes.chart,Ometh,After the Burial,,", 2009",rock,6.83,5.74,1.09,9.818,2118,2238,1681,371,66,249.27,5.121,23.610,7.349,9.192,13.525,12.461,3.925,2.653,0.097
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 04 - Rising Above It All\4. Obscura - Akróasis (Miscellany)\notes.chart,a,o,,,rock,6.93,5.89,1.05,10.023,1880,2019,981,827,72,252.45,5.513,14.673,8.078,9.684,13.086,11.687,4.962,1.103,0.648
